s1r6,s2r1_HV203,s2r1_HV207,s2r7_a,s2r7_b,s2r9_a,s2r9_b,HV171A,HV191A_A,HV191A_B,HV205A,HV205B,HV220A_A,HV220A_B,s1r1_a,s1r1_b,s1r3,s1r5,s2r2_HV137,s2r2_HV184,s2r3,s2r4_a,s2r4_b,s2r5,s2r8_HV185,s2r8_HV188_a,s2r8_HV188_b,s2r8_HV211,HV137A,HV140A_A,HV140A_B,HV140A_C,HV140A_D,HV160C_A,HV160C_B,HV192A_A,HV192A_B,HV192A_C,HV198B_A,HV198B_B,HV219AB_A,HV219AB_B,HV219AS_A,HV219AS_B,HV219AS_C
0.9691119691119692,0.0,0.04470431963769824,0.0,0.1856038858851665,0.0,0.0,0.0,0.24934370221192637,0.12767716816447572,0.0,0.0,0.0,0.0,0.0,0.10202921936243374,0.2803691973243634,0.03514405535463567,0.08720885416537158,0.16512344432362916,0.3499615707945128,0.0,0.0,0.0,0.17240755672441468,0.0,0.0,0.0,0.13234960061543813,0.499124639356869,0.3571479701486077,0.0,0.0,0.0,0.0,0.02520034581496446,1.0,0.0,0.23572192673945927,0.3210373767224169,0.0791371558387254,0.25903690889904596,0.2773141085085804,0.0,0.46516815324090655
9.824334600760457,0.41127390022000765,0.3221677944900077,0.39902096859480174,0.19974148607365844,1.0,0.43022486959163775,0.49006609493071895,0.2649822156558105,0.37257621011791725,0.34774461325449557,0.4628392345788496,0.2845881198953832,0.2885642976609273,0.1383276131077313,0.1026614556248064,0.15129273474870022,0.26686983768834005,0.1515437023274242,0.2997870576735579,0.07177061773791432,0.2885098895354837,0.43052664145115443,0.2755370306197003,0.10504595404190564,0.0,0.15252556471996903,0.31607134642432283,0.2756843389588091,0.13729223024917062,0.0898813165980021,0.3410319969025546,0.3652152732163674,0.3200969881213153,0.22195078836071724,0.2592831348893535,0.12283414984286742,0.559794642115285,0.11600151855133768,0.16473527933136123,0.33432142685731764,0.21232512461055533,0.10605995240622466,0.24108913538050358,0.12772932663178446
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15607721713046002,0.0,0.0,0.0,0.0,0.2970936920284314,0.0875679443360867,0.0,0.0,0.0,0.0,0.0,0.3717780532810518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.003274397902784103,0.12439000414061409,0.0,0.24845899224962406,0.0,0.15658634529932725,0.0,0.011978732613653249,0.0,0.0,0.0,0.08991460658650614,0.0,0.07689542436593551,0.10519723218344362,0.15136658714082224,0.16987102957017422,0.20921591004477402,0.5009785059194297,0.47814933881284594,0.0,0.0,0.0010671118100709007,0.37533731574547907,0.04294167371090449,0.0,0.25477064735489763,0.15932081855426808,0.14752304017484427,0.11500823984792154,0.0,0.0,0.0,0.0006226323170277003,0.0,0.28097826002399134,0.0,0.5362699880464713,0.4155163456980754,0.05585930746409035,0.2110020931449503,0.4933785379490589,1.0,0.366863355777776
0.3362068965517241,0.22587267771855202,0.40743473500471805,0.08299364207930317,0.31143951590569846,0.0,0.8957390411765518,0.08444561445991973,0.231867824831307,0.24855863204570966,0.1273606666672654,0.11135054406160269,0.6422838127224265,0.201358634761934,0.15674237510496347,0.14537752722491723,0.22169520387292593,0.2280791180605359,0.190670807161881,0.599817658255392,0.3291812328729415,0.10033277357531312,0.2841290306429,0.18002009235766825,1.0,0.08286487960973415,0.07802590293076973,0.4115919959258911,0.16162871923131406,0.22727789130655604,0.3396520948689983,0.134231640143195,0.21386666479269797,0.026077324580943927,0.1370656720319312,0.3964404332732492,0.5247336360101366,0.0,0.8655215137685196,0.5664151845398386,0.27174608328311617,0.15062059104969175,0.4514223009910458,0.7489619325323168,0.5059574577417406
0.0,0.20811941392048458,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.36784748164369446,0.26791485505629015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08119728783389739,0.0,0.0,0.16273272158277194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14319762615047885,0.0,0.027466801696853824,0.8168670079450167,0.0
,0.10515199977051226,0.3054009716922065,0.0,0.16566593509738153,0.0,1.0,0.017604988079955985,0.19840164062744606,0.3128555022447789,0.0,0.0,0.13765182186234814,0.0,0.052181574447323416,0.04785976716391483,0.15527870929068668,0.017743812460259373,0.042179985821853505,0.4779066857202832,0.1367116516346298,0.0,0.13871699373118346,0.016948016969456584,0.9897686564743283,0.0,0.0,0.14042703536644252,0.01809798490524696,0.0048647914558159235,0.15377252888318357,0.0,0.0,0.0,0.028806161745827983,0.2698703563974169,0.3161833352783288,0.0,0.8968640694374109,0.45730754076691366,0.0,0.0,0.2547009461322683,0.0,0.4047434676384115
,0.7994297464158449,0.6391655031559028,0.0,0.041707660861219416,0.0,0.0200612136469274,0.0,0.052396469647279016,0.020366226838423727,0.12201415659121627,0.0,0.3901017927681556,0.7157544467295905,0.08545332444737236,0.17489159471692478,0.34877637431143793,0.08242969292099209,0.49816838975583605,0.19659789622321125,0.04694100198377516,0.11434346637073436,0.44111438675433323,0.30173070516809947,0.47826143730700504,0.0,0.0,0.39768348567345835,0.18880294731561234,0.3228072997658499,0.41524732524108815,0.0,0.0,0.0,0.017532664843512593,0.0,1.0,0.0,0.841096365470791,0.8380875756039806,0.606899936890821,0.6179344811979269,0.0413269957025654,0.47973995011369663,0.2671743795365824
,0.22795722367815283,0.23401448767955502,0.1461128424879886,0.19716101862164473,0.0,0.34756998727314176,0.37749553788532697,0.23714788495896186,0.20876076699995677,0.2848219443063821,0.21880432211299117,0.2311631606284898,0.16970968685118556,0.2678109030912716,0.30466717770209983,0.334943906332947,0.22093854839553695,0.2775158227047592,0.43634707486422697,0.4417350699201893,0.3551159363831914,0.3224121901825406,0.3001947247202729,0.1363952219667083,0.11768218306755988,0.0,0.3681165047010392,0.33451284214863336,0.3524836346692942,0.315707767112401,0.48385761589403975,0.0,0.2717828853395663,0.2004787484878929,0.281214059458638,0.4143711107315284,0.3112384700204024,0.5140276071940482,0.40597182281140776,0.291293338527464,0.44977629823753706,0.5161005064277366,1.0,0.3691010125145697
0.2115384615384615,0.15916266112588426,0.13961890829542223,0.0,0.10825661446586204,0.4370639544144538,1.0,0.05540360406426018,0.09228572749921814,0.07765169016454297,0.051665169762816404,0.01941790973703995,0.415046474158626,0.0020291191494895234,0.03360298693217173,0.0022209073488741763,0.04321219083306799,0.018553425459436126,0.0,0.2358408109558848,0.0,0.0,0.11130252513673729,0.0,0.4032131707449395,0.0,0.0,0.19906778247967247,0.0690149992689089,0.19135815184703697,0.2449850087684562,0.1925141860794667,0.44114392528795465,0.0,0.06100425696798164,0.04986143183254955,0.509824160018482,0.0,0.31583146744954227,0.3648804041691023,0.01496636926820953,0.0,0.24549313172779536,0.6968889988288813,0.11780876248828956
